Nº de Títulos;Valor Total;Nº Baixados;Valor Total;Nº Confirmados;
4860;R$ 4.186.933,60;0;R$ 0,00;0;
Erro nº;Mensagem de erro;MSG_TECNICA;
61;Título está baixado. Matrícula [201506199] Número [151326            ] * Linha: 2812; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101963] Linha: 2812;
62;Título está baixado. Matrícula [201512111] Número [150869            ] * Linha: 2813; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101969] Linha: 2813;
63;Título está baixado. Matrícula [201516259] Número [150177            ] * Linha: 2814; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101986] Linha: 2814;
64;Título está baixado. Matrícula [201206914] Número [149415            ] * Linha: 2815; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100980] Linha: 2815;
65;Título está baixado. Matrícula [201209305] Número [148664            ] * Linha: 2816; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100994] Linha: 2816;
66;Título está baixado. Matrícula [201303322] Número [154637            ] * Linha: 2817; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101000] Linha: 2817;
67;Título está baixado. Matrícula [201303340] Número [153413            ] * Linha: 2818; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101011] Linha: 2818;
68;Título está baixado. Matrícula [201303810] Número [141229            ] * Linha: 2819; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101013] Linha: 2819;
69;Título está baixado. Matrícula [201303825] Número [151928            ] * Linha: 2820; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101015] Linha: 2820;
70;Título está baixado. Matrícula [201202490] Número [141237            ] * Linha: 2821; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101033] Linha: 2821;
71;Título está baixado. Matrícula [201202054] Número [151755            ] * Linha: 2822; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101035] Linha: 2822;
72;Título está baixado. Matrícula [201207275] Número [143566            ] * Linha: 2823; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101049] Linha: 2823;
73;Título está baixado. Matrícula [201207276] Número [151351            ] * Linha: 2824; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101051] Linha: 2824;
74;Título está baixado. Matrícula [201013871] Número [156595            ] * Linha: 2825; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101074] Linha: 2825;
75;Título está baixado. Matrícula [200908285] Número [148387            ] * Linha: 2826; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101078] Linha: 2826;
76;Título está baixado. Matrícula [200906516] Número [156396            ] * Linha: 2827; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101084] Linha: 2827;
77;Título está baixado. Matrícula [201005678] Número [148991            ] * Linha: 2828; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101086] Linha: 2828;
78;Título está baixado. Matrícula [201008116] Número [157169            ] * Linha: 2829; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101095] Linha: 2829;
79;Título está baixado. Matrícula [201008711] Número [154371            ] * Linha: 2830; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101097] Linha: 2830;
80;Título está baixado. Matrícula [201003472] Número [155001            ] * Linha: 2831; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101124] Linha: 2831;
